borough,inner_outer,lsoa_count,total_population,total_chargers,chargers_per_10k,pct_lsoas_with_charger,pct_zero_charger_lsoas,households_total,car_owning_households,pct_car_owning_households,pct_no_car_households,households_total_housing,pct_flats_apartments,pct_houses,chargers_per_1000_car_owning_households,chargers_per_km2
Barking and Dagenham,Outer,115,220392,30,1.36,20.87,79.13,73892,48215,65.25,34.75,73899,31.11,68.81,0.62,0.83
Barnet,Outer,220,390371,250,6.4,33.18,66.82,148935,104350,70.06,29.94,148918,47.41,52.47,2.4,2.88
Bexley,Outer,148,247875,48,1.94,20.95,79.05,95302,73983,77.63,22.37,95311,24.67,75.28,0.65,0.79
Brent,Outer,181,341505,611,17.89,66.85,33.15,118622,66318,55.91,44.09,118609,56.66,43.26,9.21,14.13
Bromley,Outer,199,329930,60,1.82,21.11,78.89,135832,104739,77.11,22.89,135821,31.28,68.55,0.57,0.4
Camden,Inner,130,217352,461,21.21,93.85,6.15,92743,33710,36.35,63.65,92733,86.58,13.34,13.68,21.16
City of London,Inner,6,11615,32,27.55,100.0,0.0,4913,1120,22.8,77.2,4912,98.03,1.97,28.57,11.06
Croydon,Outer,229,393547,169,4.29,43.67,56.33,152948,101528,66.38,33.62,152931,39.67,60.24,1.66,1.95
Ealing,Outer,199,370315,330,8.91,75.38,24.62,133644,84454,63.19,36.81,133675,49.49,50.35,3.91,5.94
Enfield,Outer,183,326867,144,4.41,32.79,67.21,120908,83402,68.98,31.02,120938,38.75,61.16,1.73,1.75
Greenwich,Outer,164,292381,144,4.93,43.29,56.71,114036,64854,56.87,43.13,114046,51.54,48.38,2.22,3.04
Hackney,Inner,149,261814,267,10.2,73.83,26.17,106071,37239,35.11,64.89,106088,80.94,18.82,7.17,14.0
Hammersmith and Fulham,Inner,115,185822,1756,94.5,97.39,2.61,81230,34553,42.54,57.46,81225,75.26,24.62,50.82,107.01
Haringey,Inner,147,262078,111,4.24,45.58,54.42,105090,49682,47.28,52.72,105105,60.98,38.88,2.23,3.75
Harrow,Outer,144,261798,50,1.91,18.75,81.25,89662,67486,75.27,24.73,89651,34.61,65.36,0.74,0.99
Havering,Outer,153,264786,36,1.36,16.34,83.66,101275,79474,78.47,21.53,101287,23.07,76.65,0.45,0.32
Hillingdon,Outer,170,312162,113,3.62,27.06,72.94,109221,84871,77.71,22.29,109243,30.8,68.94,1.33,0.98
Hounslow,Outer,150,289196,326,11.27,62.67,37.33,102968,69243,67.25,32.75,102987,45.75,54.02,4.71,5.83
Islington,Inner,126,219769,281,12.79,82.54,17.46,96502,31961,33.12,66.88,96482,83.61,16.3,8.79,18.91
Kensington and Chelsea,Inner,101,146336,627,42.85,98.02,1.98,66906,27902,41.7,58.3,66870,82.86,17.03,22.47,51.65
Kingston upon Thames,Outer,99,169076,266,15.73,74.75,25.25,65630,48768,74.31,25.69,65623,38.3,61.55,5.45,7.14
Lambeth,Inner,181,317657,374,11.77,82.32,17.68,134663,56530,41.98,58.02,134699,75.13,24.81,6.62,13.94
Lewisham,Inner,175,299164,163,5.45,54.86,45.14,122377,64007,52.3,47.7,122368,57.71,42.18,2.55,4.64
Merton,Outer,126,215105,683,31.75,97.62,2.38,81725,54717,66.95,33.05,81723,39.55,60.38,12.48,18.15
Newham,Inner,185,357327,111,3.11,38.92,61.08,115511,55820,48.32,51.68,115515,52.74,47.09,1.99,3.06
Redbridge,Outer,164,311629,106,3.4,31.1,68.9,103691,75172,72.5,27.5,103711,33.64,66.21,1.41,1.88
Richmond upon Thames,Outer,115,195295,357,18.28,75.65,24.35,80710,60189,74.57,25.43,80680,39.95,59.81,5.93,6.23
Southwark,Inner,173,309327,1698,54.89,97.69,2.31,130830,51969,39.72,60.28,130809,78.02,21.82,32.67,58.86
Sutton,Outer,123,210369,145,6.89,56.1,43.9,82375,63600,77.21,22.79,82347,37.07,62.88,2.28,3.31
Tower Hamlets,Inner,169,324881,337,10.37,72.19,27.81,120549,40529,33.62,66.38,120545,87.8,12.05,8.32,17.07
Waltham Forest,Outer,146,275847,308,11.17,81.51,18.49,102900,59568,57.89,42.11,102926,44.75,55.15,5.17,7.94
Wandsworth,Inner,186,330447,596,18.04,80.65,19.35,137392,71632,52.14,47.86,137350,68.46,31.43,8.32,17.4
Westminster,Inner,123,209333,1229,58.71,99.19,0.81,94792,32006,33.76,66.24,94814,89.74,10.17,38.4,57.26
