LSOA21CD,LSOA21NM,borough,inner_outer,population,charger_count,chargers_per_10k,pct_car_owning_households,pct_flats_apartments,imd_decile,priority_score
E01001549,Enfield 006D,Enfield,Outer,2439.0,0.0,0.0,60.63960639606396,69.98769987699876,1,77.8
E01002542,Hillingdon 020D,Hillingdon,Outer,2109.0,0.0,0.0,70.37037037037037,65.52706552706553,2,76.76
E01032743,Ealing 010F,Ealing,Outer,2268.0,1.0,4.409171075837742,71.06227106227107,81.70731707317073,2,76.69
E01000404,Bexley 004B,Bexley,Outer,2450.0,0.0,0.0,58.42583249243189,76.18567103935419,2,76.48
E01003577,Newham 005C,Newham,Inner,2387.0,0.0,0.0,51.32275132275132,78.17460317460318,1,76.46
E01000030,Barking and Dagenham 001D,Barking and Dagenham,Outer,2545.0,0.0,0.0,65.15986769570011,62.77533039647577,2,76.37
E01001437,Enfield 014A,Enfield,Outer,2262.0,0.0,0.0,60.62639821029083,64.87695749440716,1,76.13
E01000189,Barnet 014D,Barnet,Outer,2456.0,0.0,0.0,73.19062181447502,77.77777777777779,4,75.71
E01034479,Barking and Dagenham 021G,Barking and Dagenham,Outer,2033.0,0.0,0.0,52.069425901201605,93.86666666666666,2,75.48
E01000061,Barking and Dagenham 006C,Barking and Dagenham,Outer,1980.0,0.0,0.0,49.601063829787236,92.4,1,75.43
E01000661,Bromley 026A,Bromley,Outer,2817.0,0.0,0.0,67.71186440677967,64.91525423728814,3,75.08
E01001410,Enfield 005C,Enfield,Outer,2195.0,0.0,0.0,64.78527607361964,63.312883435582826,2,74.91
E01002596,Hounslow 027A,Hounslow,Outer,2185.0,0.0,0.0,74.60317460317461,59.709379128137385,3,74.66
E01001562,Enfield 037D,Enfield,Outer,2169.0,0.0,0.0,50.847457627118644,74.87864077669903,1,74.38
E01001507,Enfield 012D,Enfield,Outer,2610.0,0.0,0.0,55.624227441285534,65.67901234567901,2,74.25
E01001517,Enfield 006C,Enfield,Outer,1989.0,0.0,0.0,57.47460087082729,73.72262773722628,1,74.2
E01003783,Redbridge 029A,Redbridge,Outer,2626.0,0.0,0.0,43.61581920903955,74.85843714609285,1,74.2
E01004570,Wandsworth 023B,Wandsworth,Inner,2056.0,0.0,0.0,44.72222222222222,95.41029207232266,2,74.14
E01001218,Ealing 012A,Ealing,Outer,2080.0,0.0,0.0,63.44827586206897,66.39118457300276,2,74.11
E01002281,Havering 002C,Havering,Outer,2462.0,0.0,0.0,66.32337796086509,48.25102880658436,2,74.09
E01001181,Croydon 015E,Croydon,Outer,2415.0,0.0,0.0,47.13160854893139,71.3963963963964,1,73.93
E01000126,Barnet 026A,Barnet,Outer,2199.0,0.0,0.0,65.14954486345904,56.046814044213264,2,73.84
E01000501,Brent 011C,Brent,Outer,2021.0,0.0,0.0,58.498023715415016,76.57894736842105,2,73.75
E01000106,Barking and Dagenham 014D,Barking and Dagenham,Outer,2260.0,0.0,0.0,57.11009174311926,66.28440366972477,2,73.6
E01001445,Enfield 003B,Enfield,Outer,2814.0,1.0,3.5536602700781805,71.42857142857143,54.824561403508774,2,73.54
E01002202,Harrow 012E,Harrow,Outer,2266.0,0.0,0.0,63.31444759206799,73.50427350427351,3,73.53
E01003761,Redbridge 009C,Redbridge,Outer,1797.0,0.0,0.0,60.382916053019144,94.12628487518356,2,73.51
E01001730,Hackney 019B,Hackney,Inner,2789.0,0.0,0.0,28.67256637168142,96.99381078691424,2,73.41
E01002650,Hounslow 021B,Hounslow,Outer,2484.0,0.0,0.0,74.02269861286254,45.18987341772152,3,73.26
E01004574,Wandsworth 013B,Wandsworth,Inner,2056.0,0.0,0.0,41.96301564722618,94.60227272727273,2,73.19
E01001429,Enfield 030D,Enfield,Outer,2219.0,0.0,0.0,36.13030602171767,87.3767258382643,1,73.17
E01002646,Hounslow 017B,Hounslow,Outer,2280.0,0.0,0.0,58.344459279038716,61.199999999999996,2,73.11
E01002588,Hounslow 016B,Hounslow,Outer,1963.0,0.0,0.0,59.005376344086024,66.84563758389261,1,73.09
E01034472,Barking and Dagenham 008H,Barking and Dagenham,Outer,1921.0,0.0,0.0,59.15915915915916,95.34534534534535,3,73.04
E01000012,Barking and Dagenham 015D,Barking and Dagenham,Outer,2350.0,0.0,0.0,50.25575447570333,72.63427109974424,2,73.04
E01003666,Redbridge 038B,Redbridge,Outer,2833.0,0.0,0.0,65.41705716963449,58.10684161199625,3,73.0
E01000007,Barking and Dagenham 015A,Barking and Dagenham,Outer,2992.0,0.0,0.0,39.042821158690174,81.36020151133502,2,72.89
E01004185,Sutton 001D,Sutton,Outer,2210.0,0.0,0.0,74.13366336633663,49.00990099009901,3,72.86
E01002404,Hillingdon 024E,Hillingdon,Outer,2038.0,0.0,0.0,70.83946980854198,46.53902798232695,2,72.76
E01002526,Hillingdon 028C,Hillingdon,Outer,3008.0,0.0,0.0,78.73620862587764,46.546546546546544,4,72.75
E01000171,Barnet 006B,Barnet,Outer,2299.0,1.0,4.349717268377556,64.1925777331996,72.51755265797392,2,72.66
E01003841,Richmond upon Thames 013B,Richmond upon Thames,Outer,2174.0,0.0,0.0,65.73170731707317,66.01705237515225,3,72.6
E01003093,Lambeth 010B,Lambeth,Inner,2212.0,0.0,0.0,29.664570230607968,98.7434554973822,2,72.56
E01003781,Redbridge 026A,Redbridge,Outer,2056.0,0.0,0.0,60.670731707317074,63.90168970814132,2,72.54
E01000477,Brent 026D,Brent,Outer,2246.0,0.0,0.0,57.62463343108505,59.76505139500734,2,72.39
E01034617,Hillingdon 030G,Hillingdon,Outer,2537.0,0.0,0.0,67.07650273224044,52.660300136425654,3,72.3
E01002056,Haringey 032C,Haringey,Inner,2924.0,0.0,0.0,38.46153846153847,78.81081081081082,2,72.2
E01004319,Tower Hamlets 021A,Tower Hamlets,Inner,2559.0,0.0,0.0,28.50356294536817,93.95017793594306,2,72.18
E01001409,Enfield 005B,Enfield,Outer,2045.0,0.0,0.0,68.24583866837388,48.209718670076725,2,72.15
E01001631,Greenwich 007B,Greenwich,Outer,2065.0,0.0,0.0,45.8808618504436,84.01015228426397,2,72.08
E01034614,Hillingdon 028F,Hillingdon,Outer,1985.0,0.0,0.0,66.31439894319684,72.41379310344827,3,71.87
E01000152,Barnet 026C,Barnet,Outer,2766.0,0.0,0.0,70.79741379310344,72.76641550053822,5,71.82
E01000215,Barnet 037B,Barnet,Outer,2172.0,0.0,0.0,67.60961810466762,58.35694050991501,3,71.78
E01003499,Newham 030A,Newham,Inner,2453.0,0.0,0.0,41.77831912302071,65.2439024390244,1,71.64
E01035667,Tower Hamlets 008H,Tower Hamlets,Inner,2020.0,0.0,0.0,34.60410557184751,97.65739385065886,2,71.63
E01004304,Tower Hamlets 022C,Tower Hamlets,Inner,2231.0,0.0,0.0,28.985507246376812,87.92270531400966,1,71.58
E01001508,Enfield 012E,Enfield,Outer,2433.0,0.0,0.0,61.06870229007634,44.656488549618324,2,71.56
E01001594,Greenwich 014D,Greenwich,Outer,2361.0,0.0,0.0,54.75330926594465,73.50119904076739,3,71.54
E01000610,Brent 019A,Brent,Outer,2264.0,0.0,0.0,64.77438136826783,59.388646288209614,3,71.53
E01001110,Croydon 020D,Croydon,Outer,2082.0,0.0,0.0,46.300448430493276,79.28331466965287,2,71.52
E01003719,Redbridge 034F,Redbridge,Outer,2440.0,0.0,0.0,67.36111111111111,48.95977808599168,3,71.45
E01000526,Brent 025D,Brent,Outer,2182.0,0.0,0.0,46.78217821782179,64.40049443757727,1,71.44
E01000104,Barking and Dagenham 014B,Barking and Dagenham,Outer,1916.0,0.0,0.0,63.63636363636363,64.84149855907782,2,71.42
E01002282,Havering 004B,Havering,Outer,2005.0,0.0,0.0,61.6991643454039,49.51321279554937,1,71.39
E01003636,Newham 020E,Newham,Inner,2176.0,0.0,0.0,48.63309352517985,71.51079136690647,2,71.38
E01001257,Ealing 008A,Ealing,Outer,2270.0,1.0,4.405286343612334,63.827160493827165,68.60321384425217,2,71.31
E01002590,Hounslow 022C,Hounslow,Outer,2745.0,0.0,0.0,62.0,54.400000000000006,3,71.25
E01033729,Greenwich 030E,Greenwich,Outer,2607.0,0.0,0.0,59.49868073878628,60.4221635883905,3,71.24
E01002303,Havering 003B,Havering,Outer,2241.0,0.0,0.0,73.67773677736777,39.72939729397294,3,71.15
E01004567,Wandsworth 039A,Wandsworth,Inner,2334.0,0.0,0.0,34.76044852191641,98.06320081549438,3,71.14
E01003556,Newham 008A,Newham,Inner,2014.0,0.0,0.0,39.57055214723926,81.47013782542113,1,71.11
E01003542,Newham 024D,Newham,Inner,2188.0,0.0,0.0,57.68072289156626,54.20420420420421,2,71.11
