lsoa_code,households_total_housing,households_detached,households_semi_detached,households_terraced,households_flats_apartments,households_other_accommodation,pct_flats_apartments,pct_houses
E01000001,837,0,3,13,821,0,98.08841099163679,1.911589008363202
E01000002,825,1,2,29,793,0,96.12121212121212,3.878787878787879
E01000003,1017,1,0,0,1016,0,99.90167158308752,0.09832841691248771
E01000005,479,0,0,2,477,0,99.58246346555325,0.41753653444676403
E01000006,554,34,88,283,148,1,26.714801444043324,73.10469314079423
E01000007,1191,15,47,153,969,7,81.36020151133502,18.052057094878254
E01000008,551,6,11,22,511,1,92.74047186932849,7.078039927404718
E01000009,601,28,49,231,293,0,48.75207986688852,51.24792013311148
E01000011,473,48,95,222,108,0,22.832980972515855,77.16701902748414
E01000012,782,13,70,131,568,0,72.63427109974424,27.365728900255753
E01000013,617,48,151,369,49,0,7.941653160453808,92.05834683954619
E01000014,635,33,127,385,90,0,14.173228346456693,85.8267716535433
E01000015,835,29,165,383,258,0,30.898203592814372,69.10179640718563
E01000016,629,49,136,401,42,1,6.677265500794912,93.1637519872814
E01000017,595,39,142,355,59,0,9.915966386554622,90.08403361344538
E01000018,645,36,170,420,19,0,2.945736434108527,97.05426356589147
E01000019,501,31,165,265,40,0,7.984031936127744,92.01596806387225
E01000020,664,36,230,290,107,1,16.114457831325304,83.73493975903614
E01000021,593,45,192,205,151,0,25.463743676222595,74.53625632377741
E01000022,478,22,202,233,21,0,4.393305439330543,95.60669456066945
E01000024,459,20,172,248,18,1,3.9215686274509802,95.86056644880175
E01000025,694,39,142,425,87,1,12.536023054755043,87.31988472622479
E01000027,663,37,200,262,164,0,24.73604826546003,75.26395173453997
E01000028,620,30,86,198,306,0,49.354838709677416,50.645161290322584
E01000029,679,46,345,182,106,0,15.61119293078056,84.38880706921944
E01000030,908,16,153,168,570,1,62.77533039647577,37.11453744493392
E01000031,596,32,203,249,112,0,18.79194630872483,81.20805369127517
E01000032,722,21,286,152,262,1,36.288088642659275,63.57340720221607
E01000033,552,16,170,186,179,1,32.427536231884055,67.3913043478261
E01000034,513,38,259,144,72,0,14.035087719298245,85.96491228070175
E01000035,596,25,99,267,205,0,34.395973154362416,65.60402684563759
E01000036,471,30,179,212,50,0,10.615711252653929,89.38428874734608
E01000037,588,18,232,293,45,0,7.653061224489796,92.3469387755102
E01000038,563,10,235,244,74,0,13.143872113676732,86.85612788632326
E01000039,638,33,170,301,129,5,20.219435736677116,78.99686520376176
E01000040,655,49,134,243,229,0,34.961832061068705,65.0381679389313
E01000041,602,38,146,389,28,1,4.651162790697675,95.1827242524917
E01000042,656,24,105,261,265,1,40.396341463414636,59.45121951219512
E01000043,471,19,244,127,81,0,17.197452229299362,82.80254777070064
E01000044,662,59,142,340,120,1,18.12688821752266,81.72205438066466
E01000045,577,35,114,328,100,0,17.33102253032929,82.66897746967071
E01000046,661,32,154,384,91,0,13.767019667170954,86.23298033282904
E01000049,576,16,68,112,380,0,65.97222222222221,34.02777777777778
E01000050,634,39,90,266,239,0,37.69716088328076,62.30283911671924
E01000051,431,3,13,19,396,0,91.87935034802784,8.120649651972158
E01000052,795,64,171,408,151,1,18.9937106918239,80.88050314465409
E01000053,652,30,124,234,261,3,40.03067484662577,59.50920245398773
E01000054,640,42,152,414,32,0,5.0,95.0
E01000055,563,27,167,345,22,2,3.9076376554174073,95.73712255772647
E01000056,562,29,124,330,79,0,14.05693950177936,85.94306049822063
E01000057,529,24,113,301,91,0,17.20226843100189,82.79773156899812
E01000058,699,41,183,387,88,0,12.589413447782546,87.41058655221745
E01000059,566,38,120,371,36,1,6.36042402826855,93.46289752650176
E01000060,813,33,205,248,327,0,40.22140221402214,59.77859778597786
E01000061,750,5,15,37,693,0,92.4,7.6
E01000062,766,37,262,362,105,0,13.707571801566578,86.29242819843343
E01000063,621,35,137,392,57,0,9.178743961352657,90.82125603864735
E01000064,796,47,252,297,200,0,25.125628140703515,74.87437185929649
E01000065,783,38,143,346,256,0,32.69476372924649,67.30523627075351
E01000066,709,21,185,283,220,0,31.029619181946405,68.9703808180536
E01000067,661,26,126,303,206,0,31.164901664145233,68.83509833585477
E01000068,475,35,128,249,63,0,13.263157894736842,86.73684210526315
E01000069,535,25,152,345,12,1,2.2429906542056073,97.57009345794393
E01000070,579,41,181,272,84,1,14.507772020725387,85.31951640759931
E01000071,804,30,188,363,223,0,27.736318407960198,72.2636815920398
E01000072,737,36,156,323,222,0,30.12211668928087,69.87788331071914
E01000073,665,43,179,387,55,1,8.270676691729323,91.57894736842105
E01000074,626,45,140,347,93,1,14.856230031948881,84.98402555910543
E01000075,640,41,311,262,25,1,3.90625,95.9375
E01000076,793,59,146,407,181,0,22.82471626733922,77.17528373266079
E01000077,594,45,102,352,95,0,15.993265993265993,84.006734006734
E01000078,620,42,140,365,73,0,11.774193548387096,88.2258064516129
E01000079,622,27,182,343,70,0,11.254019292604502,88.7459807073955
E01000080,608,31,134,377,66,0,10.855263157894738,89.14473684210526
E01000081,653,46,164,399,44,0,6.738131699846861,93.26186830015314
E01000082,696,39,149,376,132,0,18.96551724137931,81.03448275862068
E01000083,633,33,219,313,68,0,10.742496050552923,89.25750394944708
E01000084,506,35,90,335,45,1,8.893280632411066,90.9090909090909
E01000085,574,33,106,318,116,1,20.209059233449477,79.61672473867596
E01000086,489,35,89,347,18,0,3.6809815950920246,96.31901840490798
E01000087,519,38,193,192,95,1,18.304431599229286,81.5028901734104
E01000088,603,34,146,321,102,0,16.91542288557214,83.08457711442786
E01000089,603,54,136,359,54,0,8.955223880597014,91.04477611940298
E01000090,558,44,135,303,76,0,13.620071684587815,86.37992831541219
E01000091,672,30,133,198,310,1,46.13095238095239,53.720238095238095
E01000093,667,18,84,143,422,0,63.26836581709146,36.73163418290854
